mapping,N,precision,ln_order,cycle_counts,max_cycle_len
Logistic,256,float32,8.414495793177895,10,141
Logistic,256,float64,8.414495793177895,10,141
Logistic,256,Decimal(50),7.994294986415977,4,228
Logistic,256,float32,8.37930948405285,4,242
Logistic,256,float64,8.37930948405285,4,242
Logistic,256,Decimal(50),12.99352950556086,5,148
Logistic,256,float32,6.6039438246004725,3,246
Logistic,256,float64,6.6039438246004725,3,246
Logistic,256,Decimal(50),13.896186910996027,9,89
Logistic,256,float32,7.194436851100335,5,222
Logistic,256,float64,7.194436851100335,5,222
Logistic,256,Decimal(50),13.060547546379839,6,131
Logistic,256,float32,5.537334267018537,3,254
Logistic,256,float64,5.537334267018537,3,254
Logistic,256,Decimal(50),9.554780778246572,5,147
Logistic,256,float32,8.041734711487537,4,222
Logistic,256,float64,8.041734711487537,4,222
Logistic,256,Decimal(50),9.462654300590172,4,234
Logistic,256,float32,8.1886891244442,7,144
Logistic,256,float64,8.1886891244442,7,144
Logistic,256,Decimal(50),8.342601680684194,6,221
Logistic,256,float32,10.624201260813878,6,154
Logistic,256,float64,10.624201260813878,6,154
Logistic,256,Decimal(50),11.818349218898167,8,117
Logistic,256,float32,11.382292724334775,5,178
Logistic,256,float64,11.382292724334775,5,178
Logistic,256,Decimal(50),21.6719849663373,10,73
Logistic,256,float32,14.77062192297037,6,98
Logistic,256,float64,14.77062192297037,6,98
Logistic,256,Decimal(50),12.107356672591017,7,151
Logistic,256,float32,13.742178284878225,4,148
Logistic,256,float64,13.742178284878225,4,148
Logistic,256,Decimal(50),6.186208623900494,5,243
Logistic,256,float32,13.05468392871419,7,99
Logistic,256,float64,13.05468392871419,7,99
Logistic,256,Decimal(50),11.317348441373824,5,154
Logistic,256,float32,8.496990484098719,3,196
Logistic,256,float64,8.496990484098719,3,196
Logistic,256,Decimal(50),13.834489316562056,10,149
Logistic,256,float32,12.546935230452679,7,162
Logistic,256,float64,12.546935230452679,7,162
Logistic,256,Decimal(50),11.382292724334775,5,178
Logistic,256,float32,9.266909723464076,5,143
Logistic,256,float64,9.266909723464076,5,143
Logistic,256,Decimal(50),8.451053388911692,4,130
Logistic,256,float32,18.672532747713678,9,78
Logistic,256,float64,18.672532747713678,9,78
Logistic,256,Decimal(50),14.533298642460649,6,119
Logistic,256,float32,13.350804869811837,8,85
Logistic,256,float64,13.350804869811837,8,85
Logistic,256,Decimal(50),15.02195430699038,6,122
Logistic,256,float32,11.801542100581786,5,118
Logistic,256,float64,11.801542100581786,5,118
Logistic,256,Decimal(50),8.889032571874742,5,148
Logistic,256,float32,10.258360874528233,3,184
Logistic,256,float64,10.258360874528233,3,184
Logistic,256,Decimal(50),6.595780513961311,3,244
Logistic,256,float32,12.704979522382635,5,197
Logistic,256,float64,12.704979522382635,5,197
Logistic,256,Decimal(50),10.492273717771331,5,132
Logistic,256,float32,15.565551797840259,7,104
Logistic,256,float64,15.565551797840259,7,104
Logistic,256,Decimal(50),11.767800214445892,6,170
Logistic,256,float32,11.718377439153038,6,168
Logistic,256,float64,11.718377439153038,6,168
Logistic,256,Decimal(50),8.037866234709618,4,172
Logistic,256,float32,12.66334558229709,6,112
Logistic,256,float64,12.66334558229709,6,112
Logistic,256,Decimal(50),12.702109451822725,5,184
Logistic,256,float32,11.497100914623257,4,193
Logistic,256,float64,11.497100914623257,4,193
Logistic,256,Decimal(50),14.908949487858386,8,140
Logistic,256,float32,16.883030513880396,7,77
Logistic,256,float64,16.883030513880396,7,77
Logistic,256,Decimal(50),12.301882700376149,8,145
Logistic,256,float32,13.058208782557626,5,174
Logistic,256,float64,13.058208782557626,5,174
Logistic,256,Decimal(50),18.083934749862998,6,101
Logistic,256,float32,16.479132268952117,9,128
Logistic,256,float64,16.479132268952117,9,128
Logistic,256,Decimal(50),8.29154650988391,5,114
Logistic,256,float32,8.906257878156621,5,217
Logistic,256,float64,8.906257878156621,5,217
Logistic,256,Decimal(50),10.68944178268228,8,209
Logistic,256,float32,18.072284862373746,6,92
Logistic,256,float64,18.072284862373746,6,92
Logistic,256,Decimal(50),12.777458889064512,6,119
Logistic,256,float32,13.651955798061723,4,160
Logistic,256,float64,13.651955798061723,4,160
Logistic,256,Decimal(50),7.560080465021827,4,128
Logistic,512,float32,12.014464097824456,4,438
Logistic,512,float64,12.014464097824456,4,438
Logistic,512,Decimal(50),15.127855857380432,6,212
Logistic,512,float32,15.593617250738543,8,271
Logistic,512,float64,15.593617250738543,8,271
Logistic,512,Decimal(50),15.023217581407325,4,213
Logistic,512,float32,18.096191440355142,8,372
Logistic,512,float64,18.096191440355142,8,372
Logistic,512,Decimal(50),17.51522905681907,8,339
Logistic,512,float32,6.236369590203704,2,511
Logistic,512,float64,6.236369590203704,2,511
Logistic,512,Decimal(50),20.746546174697194,13,214
Logistic,512,float32,17.208589070622676,9,339
Logistic,512,float64,17.208589070622676,9,339
Logistic,512,Decimal(50),14.202445029453004,10,291
Logistic,512,float32,12.098877113926617,6,339
Logistic,512,float64,12.098877113926617,6,339
Logistic,512,Decimal(50),20.554069699725883,10,181
Logistic,512,float32,8.016317898503415,4,505
Logistic,512,float64,8.016317898503415,4,505
Logistic,512,Decimal(50),14.882281240776225,7,407
Logistic,512,float32,18.617948054464623,11,240
Logistic,512,float64,18.617948054464623,11,240
Logistic,512,Decimal(50),12.235942079132451,7,243
Logistic,512,float32,8.425077902508432,8,285
Logistic,512,float64,8.425077902508432,8,285
Logistic,512,Decimal(50),23.20230211476822,11,167
Logistic,512,float32,15.533219745682162,4,250
Logistic,512,float64,15.533219745682162,4,250
Logistic,512,Decimal(50),15.907363508469826,7,230
Logistic,512,float32,8.592300663903043,2,490
Logistic,512,float64,8.592300663903043,2,490
Logistic,512,Decimal(50),18.53757725342718,7,251
Logistic,512,float32,8.494947582468917,7,489
Logistic,512,float64,8.494947582468917,7,489
Logistic,512,Decimal(50),17.575469904221702,8,215
Logistic,512,float32,14.064228284397911,9,402
Logistic,512,float64,14.064228284397911,9,402
Logistic,512,Decimal(50),20.889146225405273,6,226
Logistic,512,float32,15.744040543188051,8,329
Logistic,512,float64,15.744040543188051,8,329
Logistic,512,Decimal(50),20.07185842482337,8,223
Logistic,512,float32,17.52813925300416,5,266
Logistic,512,float64,17.52813925300416,5,266
Logistic,512,Decimal(50),17.747339720094136,8,249
Logistic,512,float32,16.39392576560997,11,230
Logistic,512,float64,16.39392576560997,11,230
Logistic,512,Decimal(50),16.92455401667214,9,391
Logistic,512,float32,16.710855263566813,6,237
Logistic,512,float64,16.710855263566813,6,237
Logistic,512,Decimal(50),15.012578981816636,6,258
Logistic,512,float32,14.121891707848539,4,250
Logistic,512,float64,14.121891707848539,4,250
Logistic,512,Decimal(50),11.400741723964277,4,382
Logistic,512,float32,14.018634242387492,5,286
Logistic,512,float64,14.018634242387492,5,286
Logistic,512,Decimal(50),18.771916462086065,6,223
Logistic,512,float32,23.89406354897645,8,194
Logistic,512,float64,23.89406354897645,8,194
Logistic,512,Decimal(50),21.78569483481989,13,125
Logistic,512,float32,8.87346805533363,5,476
Logistic,512,float64,8.87346805533363,5,476
Logistic,512,Decimal(50),9.131297164635729,5,420
Logistic,512,float32,17.295098082566742,6,221
Logistic,512,float64,17.295098082566742,6,221
Logistic,512,Decimal(50),13.61840018369688,8,276
Logistic,512,float32,16.19953885440275,10,321
Logistic,512,float64,16.19953885440275,10,321
Logistic,512,Decimal(50),20.34391837436719,7,275
Logistic,512,float32,6.222576268071369,4,504
Logistic,512,float64,6.222576268071369,4,504
Logistic,512,Decimal(50),6.214608098422191,8,500
Logistic,512,float32,14.605097280359102,6,302
Logistic,512,float64,14.605097280359102,6,302
Logistic,512,Decimal(50),19.683276299452817,11,313
Logistic,512,float32,13.830950742452153,7,156
Logistic,512,float64,13.830950742452153,7,156
Logistic,512,Decimal(50),6.236369590203704,2,511
Logistic,512,float32,10.506162829931998,13,174
Logistic,512,float64,10.506162829931998,13,174
Logistic,512,Decimal(50),17.001967731116967,9,281
Logistic,512,float32,7.828038032125829,5,502
Logistic,512,float64,7.828038032125829,5,502
Logistic,512,Decimal(50),10.283019278617788,6,464
Logistic,512,float32,14.362405781490317,11,308
Logistic,512,float64,14.362405781490317,11,308
Logistic,512,Decimal(50),10.901911113948806,6,472
Logistic,512,float32,12.639379872866426,4,283
Logistic,512,float64,12.639379872866426,4,283
Logistic,512,Decimal(50),17.806920936381083,4,213
Logistic,1024,float32,17.468011256734496,6,750
Logistic,1024,float64,17.468011256734496,6,750
Logistic,1024,Decimal(50),20.062346174048763,10,549
Logistic,1024,float32,19.94195236910825,8,405
Logistic,1024,float64,19.94195236910825,8,405
Logistic,1024,Decimal(50),17.158414835209726,7,757
Logistic,1024,float32,17.631476304594067,7,584
Logistic,1024,float64,17.631476304594067,7,584
Logistic,1024,Decimal(50),15.695189325230213,5,600
Logistic,1024,float32,10.436113806260972,4,1002
Logistic,1024,float64,10.436113806260972,4,1002
Logistic,1024,Decimal(50),13.252770394246083,3,959
Logistic,1024,float32,23.615801598363735,8,372
Logistic,1024,float64,23.615801598363735,8,372
Logistic,1024,Decimal(50),10.51474657362339,4,567
Logistic,1024,float32,22.399845736557396,10,771
Logistic,1024,float64,22.399845736557396,10,771
Logistic,1024,Decimal(50),16.000311615301435,7,592
Logistic,1024,float32,24.86180992245143,10,389
Logistic,1024,float64,24.86180992245143,10,389
Logistic,1024,Decimal(50),16.37032876822635,7,538
Logistic,1024,float32,12.064048145500756,9,964
Logistic,1024,float64,12.064048145500756,9,964
Logistic,1024,Decimal(50),12.98056015302996,8,808
Logistic,1024,float32,16.212119185207317,7,384
Logistic,1024,float64,16.212119185207317,7,384
Logistic,1024,Decimal(50),20.449253151276064,9,683
Logistic,1024,float32,12.035960252642651,5,618
Logistic,1024,float64,12.035960252642651,5,618
Logistic,1024,Decimal(50),15.7724844206609,5,769
Logistic,1024,float32,17.002425760128023,5,429
Logistic,1024,float64,17.002425760128023,5,429
Logistic,1024,Decimal(50),18.150831359740305,8,536
Logistic,1024,float32,20.959456637519654,8,431
Logistic,1024,float64,20.959456637519654,8,431
Logistic,1024,Decimal(50),15.3272319977923,6,755
Logistic,1024,float32,18.76357948627887,8,569
Logistic,1024,float64,18.76357948627887,8,569
Logistic,1024,Decimal(50),17.871735720364875,10,360
Logistic,1024,float32,13.193175925608253,7,902
Logistic,1024,float64,13.193175925608253,7,902
Logistic,1024,Decimal(50),17.522782822520053,8,676
Logistic,1024,float32,19.777125660098203,7,815
Logistic,1024,float64,19.777125660098203,7,815
Logistic,1024,Decimal(50),21.20638965387511,12,456
Logistic,1024,float32,13.854481239862347,7,930
Logistic,1024,float64,13.854481239862347,7,930
Logistic,1024,Decimal(50),19.300027410742214,8,545
Logistic,1024,float32,20.403624215565525,8,338
Logistic,1024,float64,20.403624215565525,8,338
Logistic,1024,Decimal(50),18.638374560400642,7,461
Logistic,1024,float32,22.771852720538575,12,607
Logistic,1024,float64,22.771852720538575,12,607
Logistic,1024,Decimal(50),21.23615149378648,5,381
Logistic,1024,float32,8.536014945656826,2,1019
Logistic,1024,float64,8.536014945656826,2,1019
Logistic,1024,Decimal(50),13.348610906391666,6,647
Logistic,1024,float32,31.911235822380682,11,373
Logistic,1024,float64,31.911235822380682,11,373
Logistic,1024,Decimal(50),20.948352443305918,9,662
Logistic,1024,float32,18.235165292101396,8,465
Logistic,1024,float64,18.235165292101396,8,465
Logistic,1024,Decimal(50),14.683010125668497,6,481
Logistic,1024,float32,12.615330551877035,5,478
Logistic,1024,float64,12.615330551877035,5,478
Logistic,1024,Decimal(50),19.12669464213679,7,409
Logistic,1024,float32,25.48537868187822,9,288
Logistic,1024,float64,25.48537868187822,9,288
Logistic,1024,Decimal(50),26.603628625992854,10,447
Logistic,1024,float32,20.769206172781246,8,481
Logistic,1024,float64,20.769206172781246,8,481
Logistic,1024,Decimal(50),12.986681101860114,9,856
Logistic,1024,float32,24.807759370724696,7,505
Logistic,1024,float64,24.807759370724696,7,505
Logistic,1024,Decimal(50),19.144665248901813,7,641
Logistic,1024,float32,16.398267340960373,7,742
Logistic,1024,float64,16.398267340960373,7,742
Logistic,1024,Decimal(50),24.957445489868267,8,503
Logistic,1024,float32,19.664059821137393,10,632
Logistic,1024,float64,19.664059821137393,10,632
Logistic,1024,Decimal(50),16.344476197545806,6,377
Logistic,1024,float32,8.870522545103873,2,1017
Logistic,1024,float64,8.870522545103873,2,1017
Logistic,1024,Decimal(50),18.45839782722061,10,507
Logistic,1024,float32,12.822608723718279,3,500
Logistic,1024,float64,12.822608723718279,3,500
Logistic,1024,Decimal(50),22.812351226874856,9,569
Logistic,1024,float32,15.395783270685191,6,566
Logistic,1024,float64,15.395783270685191,6,566
Logistic,1024,Decimal(50),12.742215077279955,5,777
Tent,256,float32,15.61473211642346,8,71
Tent,256,float64,15.61473211642346,8,71
Tent,256,Decimal(50),11.159445411928015,4,114
Tent,256,float32,14.503866277788088,5,97
Tent,256,float64,14.503866277788088,5,97
Tent,256,Decimal(50),9.897972371848018,7,117
Tent,256,float32,10.764392416329548,3,218
Tent,256,float64,10.764392416329548,3,218
Tent,256,Decimal(50),9.035986984831405,6,150
Tent,256,float32,11.559770882201732,5,164
Tent,256,float64,11.559770882201732,5,164
Tent,256,Decimal(50),11.382588963242226,6,165
Tent,256,float32,16.190894337800547,6,83
Tent,256,float64,16.190894337800547,6,83
Tent,256,Decimal(50),6.51025834052315,4,224
Tent,256,float32,5.480638923341991,5,240
Tent,256,float64,5.480638923341991,5,240
Tent,256,Decimal(50),5.529429087511423,3,252
Tent,256,float32,12.11904308655707,4,135
Tent,256,float64,12.11904308655707,4,135
Tent,256,Decimal(50),14.154094848343174,5,130
Tent,256,float32,13.005631788783724,6,124
Tent,256,float64,13.005631788783724,6,124
Tent,256,Decimal(50),14.530487721110868,7,157
Tent,256,float32,10.31692083029347,5,160
Tent,256,float64,10.31692083029347,5,160
Tent,256,Decimal(50),11.530843965472574,6,144
