group,N,ln_order,max_cycle_ratio,cycle_count
Chaos-Logistic,1024,16.075320500269772,0.6845703125,10
Chaos-Logistic,1024,22.422520441391832,0.484375,8
Chaos-Logistic,1024,21.885516404155297,0.673828125,10
Chaos-Logistic,1024,20.585896914413947,0.66015625,7
Chaos-Logistic,1024,22.2987380218525,0.4453125,8
Chaos-Logistic,1024,15.416922750293201,0.708984375,7
Chaos-Logistic,1024,22.277166464095426,0.359375,11
Chaos-Logistic,1024,20.2819204538837,0.34375,10
Chaos-Logistic,1024,17.93183302690465,0.650390625,7
Chaos-Logistic,1024,20.28812868568519,0.486328125,10
Chaos-Logistic,1024,26.445979940081585,0.375,11
Chaos-Logistic,1024,23.241675292421476,0.662109375,10
Chaos-Logistic,1024,18.075716955941644,0.4306640625,11
Chaos-Logistic,1024,23.434670916146505,0.3525390625,9
Chaos-Logistic,1024,16.512932478457305,0.5517578125,5
Chaos-Logistic,1024,11.696246522097267,0.9775390625,5
Chaos-Logistic,1024,9.119320973589014,0.8916015625,3
Chaos-Logistic,1024,23.150372119827853,0.41015625,10
Chaos-Logistic,1024,13.754868435994712,0.8984375,3
Chaos-Logistic,1024,12.183581607694641,0.8525390625,5
Chaos-Logistic,1024,12.139596247922313,0.7646484375,4
Chaos-Logistic,1024,26.326415288167777,0.2998046875,8
Chaos-Logistic,1024,16.75894903679713,0.6865234375,7
Chaos-Logistic,1024,11.754380336055691,0.857421875,3
Chaos-Logistic,1024,10.181270792808661,0.62890625,4
Chaos-Logistic,1024,13.802212529820284,0.6201171875,6
Chaos-Logistic,1024,14.677598503824113,0.77734375,7
Chaos-Logistic,1024,12.465077427095085,0.5185546875,4
Chaos-Logistic,1024,16.554865608894897,0.6015625,7
Chaos-Logistic,1024,19.514973650841,0.494140625,4
Chaos-Logistic,1024,21.481846335693614,0.5048828125,6
Chaos-Logistic,1024,18.58066006136356,0.8525390625,6
Chaos-Logistic,1024,23.41372915138513,0.619140625,8
Chaos-Logistic,1024,11.976206548455137,0.90234375,5
Chaos-Logistic,1024,24.809208754587452,0.47265625,11
Chaos-Logistic,1024,21.73586471303817,0.5244140625,10
Chaos-Logistic,1024,23.15893854673605,0.5498046875,8
Chaos-Logistic,1024,16.55877473802148,0.587890625,6
Chaos-Logistic,1024,24.944225624252546,0.3291015625,7
Chaos-Logistic,1024,14.699317766767546,0.875,6
Chaos-Logistic,1024,15.805489539139057,0.8173828125,3
Chaos-Logistic,1024,21.94512384914129,0.5634765625,9
Chaos-Logistic,1024,25.280871979417828,0.6748046875,8
Chaos-Logistic,1024,19.735608694862435,0.4326171875,6
Chaos-Logistic,1024,13.030072634508882,0.80078125,6
Chaos-Logistic,1024,16.19325507014782,0.6962890625,7
Chaos-Logistic,1024,15.86562627026228,0.5712890625,6
Chaos-Logistic,1024,15.401425972956181,0.333984375,8
Chaos-Logistic,1024,17.46395544249922,0.7041015625,6
Chaos-Logistic,1024,27.41823756842127,0.4609375,10
Chaos-Logistic,1024,15.231851951636456,0.591796875,9
Chaos-Logistic,1024,18.85840589586572,0.7978515625,8
Chaos-Logistic,1024,12.113299245377819,0.908203125,6
Chaos-Logistic,1024,16.741837124826585,0.8232421875,7
Chaos-Logistic,1024,13.082998653882052,0.927734375,7
Chaos-Logistic,1024,16.390329511870007,0.7021484375,4
Chaos-Logistic,1024,17.851839280037996,0.68359375,7
Chaos-Logistic,1024,15.320792562242847,0.828125,7
Chaos-Logistic,1024,20.17031378492295,0.392578125,6
Chaos-Logistic,1024,18.657612874373964,0.6806640625,8
Chaos-Tent,1024,18.053143012998927,0.728515625,8
Chaos-Tent,1024,15.223253250290034,0.6875,10
Chaos-Tent,1024,15.913427375811183,0.5390625,6
Chaos-Tent,1024,14.551199852789889,0.73046875,13
Chaos-Tent,1024,20.736304167294847,0.31640625,9
Chaos-Tent,1024,12.378495370144881,0.9208984375,4
Chaos-Tent,1024,19.34501773766452,0.7900390625,9
Chaos-Tent,1024,21.105422685804793,0.2763671875,9
Chaos-Tent,1024,20.060987590321826,0.580078125,9
Chaos-Tent,1024,20.01934529557704,0.5869140625,7
Chaos-Tent,1024,8.835501457409778,0.958984375,4
Chaos-Tent,1024,20.265335131782887,0.6318359375,8
Chaos-Tent,1024,18.10217739160272,0.734375,4
Chaos-Tent,1024,9.212338374638856,0.978515625,3
Chaos-Tent,1024,15.786296160036487,0.38671875,8
Chaos-Tent,1024,18.591379618292414,0.4189453125,6
Chaos-Tent,1024,20.149032785448785,0.5859375,8
Chaos-Tent,1024,19.738354664224403,0.5068359375,9
Chaos-Tent,1024,16.951548973615978,0.5703125,8
Chaos-Tent,1024,17.102146110309786,0.5693359375,6
Chaos-Tent,1024,13.528352348272433,0.8115234375,4
Chaos-Tent,1024,20.328819864553576,0.6298828125,12
Chaos-Tent,1024,26.302928115217377,0.357421875,10
Chaos-Tent,1024,25.991244934057264,0.513671875,7
Chaos-Tent,1024,17.895395177300678,0.5498046875,5
Chaos-Tent,1024,15.43923788863277,0.8310546875,7
Chaos-Tent,1024,16.453078207127803,0.8046875,11
Chaos-Tent,1024,25.72799857598839,0.7158203125,11
Chaos-Tent,1024,8.531096096585228,0.990234375,2
Chaos-Tent,1024,19.416668969459007,0.369140625,7
Chaos-Tent,1024,10.465272414899246,0.92578125,3
